white_id,opening_name,Games Played,Win Rate
abhay2188,French Defense: Advance Variation #2,1,0.0
abhi07,Sicilian Defense,1,1.0
abhijeet24,French Defense: Advance Variation |  Milner-Barry Gambit,1,1.0
abhinandan46698,Englund Gambit,1,1.0
abhinandan46698,Hungarian Opening,1,1.0
abhishek1981,Sicilian Defense: Old Sicilian,1,0.0
abhradeep,Caro-Kann Defense: Exchange Variation,1,0.0
abidazad,King's Pawn Game: Wayward Queen Attack,1,0.0
abikhoshnavaz,Caro-Kann Defense: Hillbilly Attack,1,0.0
abirray,Scandinavian Defense: Main Line,1,1.0
abischabi,Dutch Defense: Hopton Attack,1,1.0
abja40,Sicilian Defense: Smith-Morra Gambit,1,1.0
abm-1302,Ruy Lopez: Steinitz Defense,1,0.0
abnormalchess,Queen's Gambit Declined: Modern Variation |  Normal Line,1,0.0
abo7amdo,Scotch Game,1,1.0
aboadbau,Van't Kruijs Opening,1,1.0
abofaz,Scotch Game,1,1.0
abohadi15,Caro-Kann Defense,1,0.0
abohadi15,Italian Game: Scotch Gambit Declined,1,0.0
abolfaz14,French Defense: Marshall Variation,1,1.0
abolfazl1386,Slav Defense #2,3,0.0
abomarzouk,Ruy Lopez: Steinitz Defense,1,1.0
aboud,Caro-Kann Defense: Advance Variation,1,1.0
aboud,English Opening: Symmetrical Variation,1,1.0
aboud,Indian Game: East Indian Defense,1,0.0
aboud,Nimzowitsch Defense |  Declined Variation,1,0.0
aboud,Paleface Attack,1,0.0
aboud,Philidor Defense #2,1,1.0
aboud,Queen's Gambit Accepted: Old Variation,1,1.0
aboud,Queen's Gambit Refused: Marshall Defense,1,1.0
aboud,Ruy Lopez: Berlin Defense |  Improved Steinitz Defense,2,1.0
aboud,Ruy Lopez: Morphy Defense |  Caro Variation,2,1.0
aboud,Ruy Lopez: Steinitz Defense,1,0.0
aboud,Semi-Slav Defense,1,0.0
aboud,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,1,0.0
aboud,Sicilian Defense: Open,1,1.0
abs1985,French Defense: Advance Variation |  Nimzowitsch System,1,0.0
abstract1972,French Defense: La Bourdonnais Variation,1,1.0
abujssar,Queen's Pawn Game: Mason Attack,1,1.0
abujssar,Sicilian Defense: Franco-Sicilian Variation,1,1.0
abuzeen-300,Caro-Kann Defense: Accelerated Panov Attack |  Open Variation,1,1.0
ac80,King's Pawn Game: Wayward Queen Attack,1,0.0
ac85,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,1,1.0
aca021,Four Knights Game: Italian Variation |  Noa Gambit,1,0.0
academicninja99,Center Game #2,2,1.0
acahn,Caro-Kann Defense,1,1.0
acahn,Philidor Defense: Lopez Countergambit,1,1.0
acalkins,French Defense: Advance Variation,1,0.0
accesspror4,Bishop's Opening: Berlin Defense,1,1.0
accesspror4,Bishop's Opening: Boi Variation,1,1.0
accghjms,Queen's Pawn Game: Zukertort Variation,1,1.0
aceituna,Slav Defense: Schlechter Variation,1,1.0
acer987,Hungarian Opening,1,1.0
achibbi8,Hungarian Opening,1,0.0
achikotetunashvili,Queen's Pawn Game #3,1,0.0
achter,Queen's Pawn Game,1,1.0
acidinsomnia,Philidor Defense #2,1,1.0
acidkat930,Center Game #2,2,0.0
acidkat930,King's Gambit Declined |  Queen's Knight Defense,1,0.0
acidkat930,King's Pawn Game: Maroczy Defense,1,0.0
acidkat930,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,1,1.0
acidrain1613,Blackmar-Diemer Gambit Declined |  Brombacher Countergambit,1,0.0
acidus,King's Pawn Game: Napoleon Attack,1,0.0
acoffee,Queen's Pawn Game: Chigorin Variation,1,1.0
acostadamaia,Alekhine Defense,1,1.0
acpok,Queen's Gambit Refused: Marshall Defense,1,1.0
acrossimpact,Scandinavian Defense,1,1.0
acrux,Horwitz Defense,1,0.0
activeguard,King's Indian Defense,1,1.0
acustic,Scandinavian Defense,1,1.0
acutefluffycrab,Sicilian Defense: Old Sicilian,1,1.0
acyang,English Opening: King's English Variation |  Two Knights Variation,1,1.0
adabriwala,Polish Opening: Bugayev Attack,1,1.0
adaert,Slav Defense,1,1.0
adam0001,King's Pawn Game: Napoleon Attack,1,0.0
adamadem,Russian Game: Three Knights Game,1,1.0
adamsandler,Reti Opening,1,0.0
adamsmith316,Alekhine Defense,1,1.0
adamstrong,Modern Defense,1,1.0
adamzhorzhevych,Sicilian Defense: Canal Attack |  Main Line,1,0.0
adatene,Four Knights Game: Italian Variation,1,1.0
adatene,Giuoco Piano,1,0.0
adatene,Italian Game: Anti-Fried Liver Defense,1,0.0
adatene,Italian Game: Classical Variation #2,1,1.0
adatene,Italian Game: Evans Gambit Declined,1,1.0
adatene,Owen Defense,1,1.0
adatene,Philidor Defense #3,3,0.6666666666666666
adatene,Pirc Defense #5,1,0.0
adatene,Russian Game: Three Knights Game,1,0.0
adatene,Scandinavian Defense: Mieses-Kotroc Variation,2,0.5
adatene,Scotch Game,7,0.2857142857142857
adatene,Sicilian Defense: Classical Variation,1,0.0
adatene,Sicilian Defense: Najdorf Variation,1,1.0
adatene,Zukertort Opening: Queenside Fianchetto Variation,1,0.0
adcz,Italian Game: Two Knights Defense,1,0.0
adcz,Nimzowitsch Defense,1,0.0
addict51,Budapest Defense: Adler Variation,1,1.0
adelko,Modern Defense: Norwegian Defense,1,1.0
adenildo,Scandinavian Defense,3,0.0
aderbalco,Italian Game: Giuoco Pianissimo |  Normal,1,1.0
adgofe,English Opening: Agincourt Defense #2,1,1.0
adhen,English Opening: Anglo-Indian Defense,1,1.0
adhen,English Opening: Great Snake Variation,1,0.0
adhonay,Caro-Kann Defense,1,1.0
adi_tiwari,Ruy Lopez: Berlin Defense #2,1,1.0
adictochesser,Owen Defense,1,0.0
adictochesser,Russian Game: Three Knights Game,1,1.0
adictus11,Zukertort Opening: Queen's Gambit Invitation,1,1.0
adilsonconciani,Philidor Defense #2,1,0.0
admin_skom,Vienna Game: Anderssen Defense,1,0.0
admx,Torre Attack #2,1,0.0
adnanraj,Sicilian Defense: Bowdler Attack,1,1.0
adonaiadan,Budapest Defense: Adler Variation,1,0.0
adorna,Sicilian Defense,1,1.0
adriahikmal,King's Gambit Accepted |  Bishop's Gambit,1,1.0
adrian-xt,Sicilian Defense: Kupreichik Variation,1,1.0
adrianomasson,Hungarian Opening: Indian Defense,1,1.0
adrianovidiu1980,Sicilian Defense,1,0.0
adriansywu,Four Knights Game: Italian Variation,2,1.0
adriansywu,French Defense: Exchange Variation,1,0.0
adriansywu,French Defense: Normal Variation,1,0.0
adriansywu,Italian Game: Anti-Fried Liver Defense,1,0.0
adriansywu,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,1,0.0
adriansywu,King's Pawn,1,1.0
adriansywu,Owen Defense,1,1.0
adriansywu,Philidor Defense #2,2,1.0
adriansywu,Scandinavian Defense: Mieses-Kotroc Variation,1,0.0
adsoargento,Philidor Defense #3,1,0.0
adzi22,English Opening: Symmetrical Variation |  Four Knights Variation,1,1.0
ae_mat,Nimzo-Indian Defense: Saemisch Variation |  Accelerated,2,0.0
aeilnrst,Benko Gambit Declined |  Main Line,1,0.0
aeilnrst,King's Indian Defense: Normal Variation |  King's Knight Variation,2,0.5
aeilnrst,King's Indian Defense: Orthodox Variation |  Donner Defense,1,1.0
aeilnrst,Queen's Gambit Declined,1,0.0
aeilnrst,Queen's Indian Defense: Classical Variation,1,0.0
aeilnrst,Queen's Indian Defense: Fianchetto Traditional,1,1.0
aeilnrst,Semi-Slav Defense,1,1.0
aekacab,Queen's Pawn Game,1,1.0
aelent,Horwitz Defense,1,0.0
aerdna87,Blackmar-Diemer Gambit,1,0.0
aerdna87,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,1,0.0
aerdna87,Zukertort Opening: Tennison Gambit,1,0.0
aerive,King's Gambit,1,1.0
afberretta,French Defense: Normal Variation,1,1.0
afc1224,Ruy Lopez: Steinitz Defense,1,0.0
afify1976,Queen's Pawn Game #2,1,1.0
afndina,Queen's Pawn Game #2,2,0.0
afredoford,Scotch Game,1,1.0
afrisham-iran,Sicilian Defense: Lasker-Dunne Attack,1,0.0
afshin135,Slav Defense: Quiet Variation,1,1.0
afshin1970,East Indian Defense,1,1.0
afshinhajari,Philidor Defense,1,1.0
afshinoo7,English Opening: King's English Variation |  Two Knights Variation,1,1.0
aftandil,Russian Game: Modern Attack,1,1.0
aftandil,Sicilian Defense: French Variation,1,1.0
aga41_mail-ru,King's Indian Defense: Six Pawns Attack,2,0.5
agabek1948,French Defense: Advance Variation |  Paulsen Attack,1,0.0
agarahman,Italian Game: Classical Variation #2,1,1.0
agatonsax,King's Pawn Game: Tayler Opening,1,0.0
agayet,Italian Game: Hungarian Defense,1,1.0
agazamiseh,Scotch Game,1,0.0
aggelos81,Gruenfeld Defense: Three Knights Variation |  Petrosian System,1,0.0
aggelospaok,Caro-Kann Defense,1,0.0
aggrusb,Philidor Defense #3,1,1.0
agimymeri1,Sicilian Defense: Bowdler Attack,1,0.0
agmur,King's Pawn Opening: Speers,1,0.0
agmur,Sicilian Defense,1,0.0
agonistes,Scandinavian Defense: Modern Variation #2,1,1.0
agonz,French Defense: Knight Variation,1,0.0
agonz,Sicilian Defense,1,0.0
agr_ymb,Modern Defense: Mongredien Defense #2,1,0.0
agri1989,French Defense: Knight Variation,1,1.0
agri1989,Philidor Defense,1,0.0
agri1989,Ruy Lopez,1,0.0
agri1989,Ruy Lopez: Cozio Defense,1,0.0
agri1989,Sicilian Defense: Bowdler Attack,1,1.0
agsgags,King's Pawn Game: McConnell Defense,1,1.0
aguschaza123,King's Gambit Declined |  Queen's Knight Defense,1,1.0
agustin015933,French Defense,1,0.0
agustin1974,Philidor Defense #2,2,0.0
agustin1974,Sicilian Defense: Snyder Variation,1,0.0
agustin_chess,Scotch Game,1,1.0
agusws,Kadas Opening,1,1.0
aha95666,Van't Kruijs Opening,1,0.0
ahanuchess,Queen's Pawn Game #2,1,0.0
ahiyad,Italian Game,1,1.0
ahmad909,Bird Opening: Dutch Variation,2,0.0
ahmad94,Slav Defense,1,1.0
ahmadirr,Indian Game: East Indian Defense,1,0.0
ahmadliaydin,Four Knights Game: Italian Variation,1,1.0
ahmadmz,Sicilian Defense: Bowdler Attack,1,1.0
ahmadn42,English Opening: Caro-Kann Defensive System,1,1.0
ahmadsan,Alekhine Defense: Scandinavian Variation,1,0.0
ahmed112200,King's Pawn Game: Leonardis Variation,1,1.0
ahmed6083,French Defense: Exchange Variation,1,0.0
ahmed_chess11,Italian Game,1,1.0
ahmed_hisham,Bishop's Opening: Ponziani Gambit,1,0.0
ahmedalieldeep,Ruy Lopez: Steinitz Defense,1,0.0
ahmedbakeer,Sicilian Defense,1,1.0
ahmedbakeer,Sicilian Defense: French Variation,1,0.0
ahmedgomez,Bishop's Opening,1,1.0
ahmedgomez,Englund Gambit,1,0.0
ahmedgomez,Four Knights Game: Italian Variation,2,0.0
ahmedgomez,Giuoco Piano,1,0.0
ahmedgomez,King's Knight Opening: Normal Variation,1,1.0
ahmedgomez,King's Pawn Game: Tortoise Opening,2,1.0
ahmedgomez,Lion Defense: Lion's Jaw,1,0.0
ahmedgomez,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,1,0.0
ahmedgomez,Ruy Lopez: Exchange Variation,1,0.0
ahmedgomez,Three Knights Opening,1,0.0
ahmedgomez,Vienna Game: Stanley Variation,1,0.0
ahmedham,French Defense: Knight Variation,1,0.0
ahmet_c,Caro-Kann Defense: Gurgenidze System,1,1.0
ahmet_kose,Caro-Kann Defense: Hillbilly Attack,1,0.0
ahmeth,Ruy Lopez: Berlin Defense |  Beverwijk Variation,1,0.0
ahmetoda,Van't Kruijs Opening,1,1.0
ahmetrasay,French Defense: Knight Variation,1,0.0
ahmettas98,French Defense: Two Knights Variation,1,1.0
ahoover8,Queen's Gambit Declined: Vienna Variation,1,0.0
ahras,French Defense: Advance Variation |  Nimzowitsch System,1,1.0
ahtym11ahtym11,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,1,1.0
ahtym11ahtym11,Ruy Lopez: Exchange Variation,1,1.0
ahuang,Center Game #2,1,1.0
ahuang,Queen's Pawn Game: Veresov Attack |  Classical Defense,1,0.0
ahura10,Sicilian Defense,1,0.0
aibiyke,Four Knights Game: Italian Variation,1,1.0
aidarboss,King's Gambit Declined: Keene's Defense #2,1,1.0
aidenleahycrooks,Four Knights Game: Double Spanish,1,1.0
aidenleahycrooks,Gedult's Opening,1,0.0
aidenleahycrooks,Philidor Defense #2,1,0.0
aidenleahycrooks,Philidor Defense #3,1,0.0
aidenleahycrooks,Pirc Defense #2,1,0.0
aidenleahycrooks,Queen's Gambit Accepted: Central Variation |  Modern Defense,1,0.0
aidenleahycrooks,Queen's Gambit Accepted: Saduleto Variation,1,0.0
aidenleahycrooks,Queen's Gambit Declined,1,0.0
aidenleahycrooks,Queen's Pawn,1,0.0
aidenleahycrooks,Queen's Pawn Game #2,1,0.0
aidenleahycrooks,Reti Opening,1,0.0
aidenleahycrooks,Scandinavian Defense: Mieses-Kotroc Variation,1,0.0
aidenleahycrooks,Scotch Game,1,0.0
aidenleahycrooks,Semi-Slav Defense: Meran Variation,1,0.0
aidenleahycrooks,Sicilian Defense: Dragon Variation,1,0.0
aidenleahycrooks,Sicilian Defense: Kan Variation |  Knight Variation,1,0.0
aidenleahycrooks,Sicilian Defense: Smith-Morra Gambit,1,0.0
aidenleahycrooks,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,1,0.0
aident69,Kadas Opening,1,0.0
aiex-1,Van't Kruijs Opening,1,1.0
aifel,Queen's Pawn Game: Chigorin Variation,1,0.0
aig7,Queen's Pawn Game: Chigorin Variation,1,0.0
aimzzz,Sicilian Defense: Closed Variation |  Traditional,1,0.0
airblade92,French Defense: Knight Variation,2,0.0
airph,Italian Game: Anti-Fried Liver Defense,1,1.0
airph,Sicilian Defense: Franco-Sicilian Variation,1,0.0
airyneon,Caro-Kann Defense,1,1.0
airyneon,King's Indian Defense: Averbakh Variation |  Geller Defense,1,0.0
airyneon,Russian Game: Nimzowitsch Attack,1,1.0
airyneon,Ruy Lopez: Steinitz Defense,1,1.0
airyneon,Slav Defense: Modern Line,1,0.0
aiutoooooooo,Queen's Pawn Game: Anglo-Slav Opening,1,1.0
aivotulehdus,Danish Gambit Accepted |  Copenhagen Defense,1,1.0
ajacfull,Queen's Gambit Accepted: Gunsberg Defense |  Prianishenmo Gambit,1,1.0
ajagab2466,Scotch Game,1,0.0
ajaysharma261253,Scandinavian Defense,1,1.0
ajji58,Horwitz Defense,1,1.0
ajkhsh78,Caro-Kann Defense,1,1.0
ajm37,Ruy Lopez: Steinitz Defense,1,0.0
ajp,Nimzo-Indian Defense #2,1,1.0
ajps17,English Opening: King's English Variation |  Four Knights Variation |  Flexible Line,2,0.0
ajps17,Mikenas Defense,1,0.0
ajswag,Slav Defense #2,1,0.0
ak0706,King's Knight Opening,1,1.0
ak6664,French Defense #2,1,1.0
ak6664,King's Pawn Game: Wayward Queen Attack,1,1.0
ak6664,Van't Kruijs Opening,1,0.0
aka121,Budapest Defense: Adler Variation,1,0.0
aka121,Caro-Kann Defense: Classical Variation,1,0.0
aka121,Horwitz Defense,2,1.0
aka121,Indian Game: Budapest Defense,1,0.0
aka121,King's Indian Defense,1,1.0
aka121,King's Indian Defense: Zinnowitz Variation,1,1.0
aka121,Modern Defense,1,0.0
aka121,Queen's Gambit Accepted,1,1.0
aka121,Queen's Gambit Declined: Neo-Orthodox Variation |  Main Line,1,0.0
aka121,Queen's Gambit Refused: Baltic Defense,1,1.0
aka121,Queen's Gambit Refused: Marshall Defense,2,1.0
aka121,Queen's Pawn,1,0.0
aka121,Semi-Slav Defense,1,0.0
aka121,Semi-Slav Defense: Accelerated Move Order,1,1.0
aka121,Slav Defense #2,1,0.0
aka121,Slav Defense: Geller Gambit #2,1,0.0
akaish,Nimzowitsch Defense: Williams Variation,1,0.0
akamil1982,Horwitz Defense,1,1.0
akao,Center Game #2,1,1.0
akbar,Nimzo-Larsen Attack: Indian Variation,1,0.0
akdrews,Nimzo-Indian Defense: Ragozin Variation,1,0.0
akel61,Horwitz Defense,1,0.0
akhmedov10,Amar Opening,1,1.0
akmar,Pirc Defense #4,1,1.0
aksell,Sicilian Defense #2,1,1.0
akssada,Queen's Gambit Refused: Austrian Defense,1,0.0
akul23,Russian Game: Urusov Gambit,1,0.0
akutt52y,French Defense: Tarrasch Variation |  Open System |  Suechting Line,1,0.0
akvik75,Nimzowitsch Defense,1,1.0
aky94536,Indian Game,1,0.0
aky94536,Queen's Pawn Game,3,1.0
al-ol-da55,Bishop's Opening,1,1.0
al1974,Sicilian Defense: Old Sicilian,1,0.0
alaa_haifawi,English Opening: Four Knights System |  Nimzowitsch Variation,1,1.0
alaibek,Pirc Defense #4,1,0.0
alaindubleu,Scandinavian Defense: Icelandic-Palme Gambit,1,0.0
alakard,Caro-Kann Defense: Exchange Variation,1,1.0
alakard,French Defense: Advance Variation |  Main Line,1,1.0
alakard,French Defense: Exchange Variation,2,0.0
alakard,Scandinavian Defense: Blackburne-Kloosterboer Gambit,1,0.0
alameldine,Caro-Kann Defense,1,0.0
alamsyahwk,French Defense: King's Indian Attack,1,1.0
alamsyahwk,Van't Kruijs Opening,1,0.0
alan09,Sicilian Defense: Bowdler Attack,1,1.0
alan4ik,Scandinavian Defense: Blackburne Gambit,1,0.0
alanav,King's Gambit Accepted |  Rosentreter-Testa Gambit,1,1.0
alandeejay,King's Pawn Game: Leonardis Variation,1,0.0
alandeejay,Van't Kruijs Opening,1,0.0
alankarajallo,Sicilian Defense,1,0.0
alanogier,Queen's Pawn Game: Mason Attack,1,0.0
alanoytoro,French Defense #2,1,1.0
alanreygadas,Semi-Slav Defense: Main Line,1,0.0
alavizenna,Caro-Kann Defense: Advance Variation,1,0.0
alba92,Vienna Game: Falkbeer Variation,1,1.0
albatz59,French Defense: Tarrasch Variation |  Open System,1,1.0
albeepach,Russian Game: Three Knights Game,1,1.0
albertlai431,Ruy Lopez: Berlin Defense |  Beverwijk Variation,1,1.0
albertlai431,Ruy Lopez: Cozio Defense,1,1.0
albertlai431,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,1,1.0
alberto1983,Van't Kruijs Opening,2,0.5
albertocdj,Owen Defense,2,0.0
albertocuevasalcocer,Scandinavian Defense,1,1.0
albertomhr,Bishop's Opening: Berlin Defense,1,0.0
albi83,Sicilian Defense: French Variation,1,0.0
albinas,Queen's Pawn Game #2,1,0.0
albyrani,Pirc Defense,1,0.0
alcarax,Blackmar-Diemer Gambit: Teichmann Variation,1,1.0
alcenero,Indian Game,1,0.0
alcinocorreia,Rat Defense: Small Center Defense,1,1.0
alco0727,Rat Defense: Balogh Defense,1,1.0
alda5,Sicilian Defense,1,1.0
aldaarqt,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,1,1.0
aldaarqt,Sicilian Defense: Closed Variation |  Traditional,1,1.0
aldali,Italian Game: Scotch Gambit,1,1.0
aldarisvet,English Opening: King's English Variation |  Four Knights Variation #2,1,1.0
aldo002,French Defense: King's Indian Attack,1,1.0
aldoraine,King's Indian Defense: Normal Variation |  Rare Defenses,1,1.0
alecsis2013,Sicilian Defense: Najdorf Variation |  Opocensky Variation |  Modern Line,1,1.0
alejandr,Queen's Pawn Game #2,1,0.0
alejandrobr,Caro-Kann Defense: Classical |  7...Nd7,1,1.0
alejol,Queen's Pawn Game: Colle System,1,0.0
alekc31,King's Indian Defense: Six Pawns Attack,1,0.0
alekhine_rose,Italian Game: Two Knights Defense |  Ulvestad Variation,1,0.0
aleks1963,King's Gambit Accepted |  MacLeod Defense,1,1.0
aleks_17,Sicilian Defense: Smith-Morra Gambit Declined |  Alapin Formation,1,1.0
aleks_1969,French Defense: Advance Variation #4,1,0.0
aleksandar,Queen's Indian Accelerated,1,1.0
aleksander10032007,French Defense: Knight Variation,2,0.5
aleksander10032007,Russian Game: Three Knights Game,1,1.0
aleksander10032007,Ruy Lopez: Berlin Defense #2,1,1.0
aleksander10032007,Ruy Lopez: Exchange Variation |  King's Bishop Variation,1,0.0
aleksander10032007,Sicilian Defense: Modern Variations |  Anti-Qxd4 Move Order,1,0.0
aleksander123,Scandinavian Defense,1,0.0
aleksandr160276,French Defense #2,1,0.0
aleksandr160276,Sicilian Defense: Bowdler Attack,1,0.0
aleksandrfrankevich,Modern Defense,1,1.0
aleksandrfrankevich,Scandinavian Defense: Mieses-Kotroc Variation,1,0.0
aleksandrs79,Hungarian Opening,1,0.0
aleksandrs79,Hungarian Opening: Indian Defense,1,0.0
aleksey-2014,Queen's Pawn Game,2,0.0
aleksey-sharov,Sicilian Defense: Sozin Attack,1,0.0
alemiha,Russian Game: Damiano Variation,1,1.0
alemiha,Ruy Lopez: Classical Variation |  Central Variation,1,1.0
alenea,Italian Game: Anti-Fried Liver Defense,2,1.0
aleph00,Sicilian Defense: Bowdler Attack,3,1.0
aleph00,Sicilian Defense: Smith-Morra Gambit #2,1,1.0
aleph6,Caro-Kann Defense,2,0.5
aleph6,Duras Gambit,1,0.0
aleph6,Dutch Defense,1,1.0
aleph6,English Defense,1,0.0
aleph6,Modern Defense: Mongredien Defense #2,1,0.0
aleph6,Nimzo-Indian Defense: Three Knights Variation,1,1.0
aleph6,Queen's Gambit Accepted,1,1.0
aleph6,Queen's Gambit Declined: 4.Bg5 Be7,1,0.0
aleph6,Queen's Gambit Declined: Modern Variation |  Normal Line,1,1.0
aleph6,Queen's Gambit Declined: Normal Defense,1,1.0
aleph6,Queen's Gambit Declined: Tarrasch Defense |  Pseudo-Tarrasch,1,0.0
aleph6,Queen's Gambit Refused: Marshall Defense,1,0.0
aleph6,Robatsch (Modern) Defense,1,1.0
aleph6,Semi-Slav Defense,1,0.0
aleph6,Semi-Slav Defense: Accelerated Move Order,1,0.0
aleph6,Sicilian Defense: Kramnik Variation,1,0.0
